epoch,accuracy,loss,val_accuracy,val_loss
0,0.9437257647514343,0.6103571057319641,0.9725363254547119,0.5123035311698914
1,0.9367722868919373,0.6030961275100708,0.9741518497467041,0.4758344292640686
2,0.9448577165603638,0.5547236800193787,0.9579967856407166,0.46901389956474304
3,0.9377425909042358,0.5613353848457336,0.9644588232040405,0.4362912178039551
4,0.9370957016944885,0.5587963461875916,0.9789983630180359,0.4018471837043762
5,0.9359637498855591,0.5427998900413513,0.9773828983306885,0.3912702202796936
6,0.9409767389297485,0.5435057282447815,0.9725363254547119,0.39265429973602295
7,0.9338615536689758,0.5710328817367554,0.9757673740386963,0.3768874406814575
8,0.9359637498855591,0.5871846675872803,0.9709208607673645,0.3884795606136322
9,0.9408150315284729,0.5620898008346558,0.9709208607673645,0.38084346055984497
10,0.9372574090957642,0.576844334602356,0.9773828983306885,0.378688246011734
11,0.9356403350830078,0.5948255658149719,0.9757673740386963,0.37508466839790344
12,0.9406533241271973,0.573854386806488,0.9757673740386963,0.3758143484592438
13,0.9430789351463318,0.569348156452179,0.9773828983306885,0.37403732538223267
14,0.9388745427131653,0.6050944328308105,0.9757673740386963,0.3855287432670593
15,0.9388745427131653,0.598298966884613,0.9757673740386963,0.38239407539367676
16,0.938551127910614,0.5706809759140015,0.9757673740386963,0.37891820073127747
17,0.9409767389297485,0.6132797002792358,0.9757673740386963,0.37891221046447754
18,0.9463130831718445,0.5468588471412659,0.9741518497467041,0.38032591342926025
